stock_item_id,account_id,rating,comment,date
88,8,2,Networked local flexibility,2016-12-06 22:02
8,40,3,Progressive optimizing monitoring,2017-02-25 20:24
16,20,1,Ergonomic non-volatile complexity,2017-02-13 19:52
5,78,5,Re-contextualized background infrastructure,2016-09-01 08:19
35,85,5,Programmable reciprocal model,2016-12-15 04:45
26,50,2,Ergonomic bottom-line model,2017-03-01 07:37
74,66,2,Cross-platform full-range forecast,2016-10-10 08:30
27,29,1,Fully-configurable content-based utilisation,2017-02-05 09:33
34,47,3,Total foreground internet solution,2016-12-21 11:38
50,86,4,Exclusive zero defect access,2016-10-15 00:58
34,78,5,Advanced national workforce,2016-10-16 19:36
23,40,5,Robust mission-critical intranet,2016-11-21 16:28
22,30,5,Centralized bifurcated Graphic Interface,2016-08-22 03:35
13,97,5,Compatible intermediate array,2017-01-04 04:47
77,4,2,Enterprise-wide well-modulated firmware,2017-02-28 21:48
55,24,1,Multi-channelled 24/7 structure,2016-10-29 03:10
1,29,5,Re-engineered needs-based alliance,2016-11-03 06:43
17,67,4,Streamlined background policy,2016-08-11 21:52
70,47,1,Grass-roots heuristic complexity,2017-01-29 10:26
59,48,4,Organic leading edge interface,2016-07-08 04:41
3,91,4,Progressive needs-based contingency,2017-01-27 01:01
15,96,1,Customer-focused motivating middleware,2016-10-05 10:37
70,9,2,Adaptive eco-centric leverage,2016-11-25 07:37
30,28,1,Diverse interactive algorithm,2017-01-15 03:59
50,2,5,Secured zero administration toolset,2017-03-10 14:21
6,41,2,Open-architected clear-thinking portal,2016-09-08 23:31
1,27,1,Up-sized object-oriented website,2017-02-21 22:11
56,9,5,Robust stable collaboration,2016-11-30 16:30
95,93,5,Mandatory zero tolerance utilisation,2016-11-13 16:18
96,92,2,Enhanced neutral installation,2016-07-09 13:25
95,71,2,Cloned uniform challenge,2016-10-03 22:00
28,3,1,Expanded regional protocol,2016-12-31 03:57
77,36,3,Optional needs-based algorithm,2016-09-30 11:46
8,10,4,Assimilated dynamic adapter,2016-09-22 07:19
38,72,5,Re-contextualized next generation matrix,2016-07-21 22:14
60,77,1,Triple-buffered needs-based middleware,2017-01-04 15:18
26,99,5,Ameliorated 3rd generation policy,2016-11-07 16:40
60,37,2,Proactive maximized interface,2016-08-30 04:16
91,14,5,Visionary full-range functionalities,2016-09-27 19:35
17,71,2,Open-source uniform migration,2017-02-23 07:52
7,32,4,Switchable analyzing orchestration,2017-01-26 08:29
7,99,2,Multi-lateral static intranet,2016-11-29 11:17
19,19,1,Focused neutral portal,2016-12-13 22:12
84,24,1,Virtual transitional array,2016-10-17 10:53
94,67,3,Face to face uniform software,2017-02-08 10:54
78,58,5,Digitized scalable concept,2016-09-17 09:25
27,75,5,Switchable actuating monitoring,2016-11-30 09:27
10,42,4,Centralized human-resource open architecture,2017-02-21 21:12
92,57,1,Ergonomic multi-tasking complexity,2016-08-22 08:28
100,43,3,Digitized neutral ability,2016-08-10 11:31
20,11,2,Self-enabling 4th generation local area network,2017-03-03 14:52
29,89,4,Seamless system-worthy synergy,2016-08-16 08:17
15,17,3,Extended tertiary concept,2016-12-22 13:45
97,49,4,Public-key eco-centric initiative,2016-08-19 21:00
52,60,3,Right-sized contextually-based application,2016-11-17 15:15
71,54,4,Monitored bifurcated artificial intelligence,2016-10-01 17:02
3,4,5,Self-enabling directional moderator,2017-01-20 17:07
72,74,2,Grass-roots neutral solution,2016-08-15 22:35
34,96,2,Multi-channelled disintermediate Graphic Interface,2016-12-16 11:17
46,48,5,Centralized scalable knowledge user,2017-01-19 15:56
59,49,3,Organized encompassing Graphical User Interface,2017-01-26 08:38
77,27,2,Future-proofed leading edge implementation,2016-09-27 17:30
61,70,1,Expanded dedicated protocol,2017-01-31 12:55
42,45,4,User-centric dedicated contingency,2016-11-20 13:25
42,1,5,Grass-roots multi-state standardization,2016-09-12 16:13
42,100,4,Exclusive clear-thinking architecture,2017-01-22 19:30
5,11,3,Cross-platform well-modulated support,2016-07-09 07:29
1,13,3,Versatile methodical access,2017-02-26 11:41
18,25,5,Face to face homogeneous help-desk,2016-08-24 19:59
37,3,3,Distributed homogeneous alliance,2016-11-30 23:40
82,65,2,User-centric web-enabled superstructure,2016-07-30 21:34
68,55,3,Quality-focused content-based secured line,2017-02-25 13:36
21,93,2,Organized systematic hierarchy,2016-10-21 10:50
23,6,5,Phased attitude-oriented pricing structure,2016-12-07 07:44
32,33,4,Seamless cohesive emulation,2016-11-04 00:14
92,67,2,Fully-configurable grid-enabled standardization,2016-12-17 12:01
39,9,4,Operative upward-trending knowledge base,2016-09-04 15:58
51,93,1,Universal fresh-thinking hardware,2016-08-19 10:47
51,96,5,Fully-configurable hybrid success,2017-01-19 06:31
29,68,1,Synergized composite monitoring,2016-07-31 17:30
8,93,3,Future-proofed non-volatile customer loyalty,2016-09-21 01:49
68,25,3,Switchable multi-tasking monitoring,2016-07-10 17:00
67,50,2,Front-line next generation infrastructure,2016-10-26 10:05
60,61,1,Function-based upward-trending toolset,2016-08-13 15:41
63,60,4,Ameliorated responsive moderator,2016-11-28 11:36
23,79,2,Reactive homogeneous methodology,2016-10-08 13:32
58,53,1,Cloned didactic framework,2016-11-06 02:24
72,84,5,Total methodical pricing structure,2016-09-30 08:44
28,22,2,Down-sized human-resource definition,2017-01-15 08:41
90,22,4,Reactive composite product,2016-08-23 16:46
88,97,3,Re-engineered contextually-based artificial intelligence,2016-09-14 00:06
96,40,3,Networked zero administration implementation,2017-01-23 01:03
86,15,3,Open-architected exuding strategy,2017-03-08 17:57
52,8,1,Fully-configurable 24/7 definition,2016-07-04 07:41
30,84,4,Organic eco-centric strategy,2017-01-15 03:08
12,69,1,Realigned disintermediate middleware,2016-09-16 23:15
60,42,2,Ergonomic empowering alliance,2017-01-17 12:51
90,58,1,Total composite pricing structure,2017-01-17 01:12
53,87,4,Vision-oriented mission-critical secured line,2016-10-22 22:25
27,24,2,Re-engineered cohesive algorithm,2016-07-17 08:42
14,93,5,Fundamental modular open system,2016-11-02 14:53
21,38,2,Digitized contextually-based collaboration,2016-10-22 16:21
44,67,3,Visionary full-range functionalities,2016-07-06 19:28
26,94,5,Open-source radical time-frame,2017-03-01 10:05
33,97,4,Seamless didactic artificial intelligence,2016-08-06 00:42
76,1,5,Customer-focused foreground projection,2016-08-10 14:06
51,80,1,De-engineered radical matrix,2016-12-15 23:17
39,16,2,Automated tertiary functionalities,2016-12-28 13:10
57,61,1,Sharable global encryption,2016-08-18 17:46
98,67,2,Business-focused client-server benchmark,2016-11-06 02:48
68,23,3,Secured directional time-frame,2016-07-24 17:36
54,6,2,Quality-focused foreground access,2016-12-09 05:30
11,69,2,Stand-alone bifurcated time-frame,2016-08-30 12:38
44,90,2,Compatible mission-critical software,2016-11-08 11:57
97,67,1,Innovative interactive open system,2016-09-26 18:47
88,10,4,Universal analyzing time-frame,2016-12-14 15:51
61,68,3,Operative composite open system,2016-11-30 18:55
66,28,2,Secured incremental pricing structure,2016-12-19 01:38
53,43,5,Persistent fault-tolerant definition,2016-08-11 23:36
36,20,1,Extended contextually-based secured line,2017-03-13 19:24
60,22,1,Universal user-facing application,2017-01-01 09:50
35,48,2,Devolved motivating software,2016-08-30 05:40
57,96,5,Reduced disintermediate functionalities,2016-09-25 18:25
49,58,2,Face to face contextually-based application,2017-01-01 15:01
18,17,5,Managed background pricing structure,2016-07-09 07:53
62,12,4,Optimized encompassing hub,2017-02-03 10:20
8,77,3,Self-enabling object-oriented policy,2016-09-15 18:27
88,43,1,Advanced asymmetric matrices,2016-10-10 11:31
10,90,5,Persevering actuating local area network,2016-07-13 20:38
61,22,3,Balanced homogeneous architecture,2017-02-26 00:37
39,7,2,Cross-group solution-oriented secured line,2016-12-25 08:39
1,64,4,Reverse-engineered multimedia function,2016-10-23 17:30
85,52,4,Total fault-tolerant installation,2016-12-22 08:51
36,93,5,Visionary regional hardware,2017-02-11 09:16
51,1,2,Extended leading edge open system,2016-07-25 04:21
57,62,2,Versatile 5th generation intranet,2017-02-22 09:49
77,67,5,Cloned interactive conglomeration,2016-08-08 19:28
96,74,5,Decentralized 24 hour collaboration,2017-01-05 07:49
92,56,2,Visionary content-based internet solution,2016-08-02 10:59
35,77,3,Proactive web-enabled approach,2016-11-12 15:00
79,38,1,Robust zero administration forecast,2017-02-15 00:56
16,81,1,Fundamental multi-tasking Graphic Interface,2016-12-22 19:38
7,61,5,Diverse composite orchestration,2016-07-16 09:06
85,7,1,Polarised tangible strategy,2017-03-01 22:08
74,79,5,Visionary actuating hierarchy,2016-08-16 17:34
77,87,5,Self-enabling zero administration customer loyalty,2016-08-08 00:21
39,36,4,Seamless analyzing archive,2016-10-14 19:39
33,38,5,Advanced leading edge projection,2016-11-23 22:39
7,6,5,Polarised reciprocal access,2016-08-05 03:32
83,53,5,Devolved neutral task-force,2016-12-22 10:14
6,39,4,Devolved optimal methodology,2016-12-13 17:54
85,63,3,Versatile motivating artificial intelligence,2016-10-04 13:05
24,83,5,Digitized systemic software,2016-07-20 06:10
3,23,5,Open-architected 5th generation workforce,2016-11-02 05:31
37,56,3,Object-based transitional data-warehouse,2016-08-17 20:12
70,35,3,Ergonomic disintermediate time-frame,2016-12-09 07:38
84,27,1,Self-enabling clear-thinking matrix,2016-08-18 05:10
75,9,1,Right-sized web-enabled open system,2016-12-04 15:09
19,75,1,Cross-platform discrete synergy,2017-01-13 12:31
95,83,4,Reactive human-resource forecast,2017-03-03 08:18
96,95,3,Horizontal client-driven infrastructure,2016-11-02 07:04
4,7,1,Multi-channelled even-keeled protocol,2016-07-03 14:21
18,58,3,Face to face static synergy,2017-01-05 14:35
4,77,5,Open-architected demand-driven secured line,2016-12-25 18:32
39,92,5,Visionary clear-thinking firmware,2016-10-28 14:21
57,63,3,Seamless cohesive encryption,2016-10-16 18:40
84,92,2,Organic high-level solution,2017-02-01 07:57
1,12,4,Persistent content-based circuit,2016-11-29 06:03
50,65,1,Mandatory leading edge adapter,2017-02-12 01:33
9,77,5,Horizontal intangible model,2016-12-26 22:54
63,51,3,Secured hybrid orchestration,2016-09-11 21:33
27,52,3,Reverse-engineered transitional monitoring,2016-11-11 08:23
64,44,1,Horizontal zero defect portal,2016-12-04 18:47
76,61,1,Quality-focused fault-tolerant parallelism,2016-10-15 16:24
24,38,3,Persevering local architecture,2016-09-15 21:35
59,19,2,Balanced national knowledge base,2016-09-28 22:11
80,54,5,Monitored systematic superstructure,2016-12-27 05:23
62,28,4,Integrated content-based system engine,2016-10-14 08:42
31,83,3,Down-sized tangible Graphic Interface,2016-07-05 23:06
60,55,3,Ergonomic contextually-based frame,2016-11-18 06:31
24,55,1,Phased mobile data-warehouse,2017-01-11 12:45
71,35,4,Re-engineered fault-tolerant info-mediaries,2016-07-21 09:40
92,50,1,Extended web-enabled parallelism,2017-01-01 08:04
10,52,5,Focused transitional interface,2017-03-01 09:22
79,10,3,Open-architected clear-thinking secured line,2016-11-24 08:08
58,88,3,Adaptive systemic service-desk,2016-08-03 09:21
63,69,3,Reduced incremental moratorium,2016-10-22 16:04
3,81,3,Assimilated non-volatile access,2016-11-21 18:24
44,26,5,Function-based bi-directional interface,2016-07-29 19:13
77,46,2,Synergistic neutral workforce,2016-10-17 17:40
22,65,3,Public-key explicit info-mediaries,2016-09-26 13:59
80,46,3,Grass-roots optimal middleware,2017-02-09 21:13
33,96,5,Up-sized grid-enabled solution,2017-02-10 09:24
70,93,1,Managed clear-thinking structure,2017-01-02 22:56
22,59,2,Expanded value-added solution,2016-12-26 15:39
31,72,4,Organized attitude-oriented encoding,2016-12-20 22:16
25,47,2,Fully-configurable regional hierarchy,2016-11-19 19:20
76,50,1,Implemented multimedia synergy,2017-01-14 07:28
79,33,4,Open-architected cohesive workforce,2016-08-07 09:55
44,5,4,Virtual 4th generation encoding,2016-08-07 17:05
34,12,2,Vision-oriented high-level capacity,2016-09-01 10:48
68,47,2,Reactive homogeneous forecast,2017-02-09 02:45
43,53,3,Front-line uniform portal,2017-01-31 10:19
43,98,3,Diverse coherent parallelism,2016-12-05 17:11
61,26,1,Multi-layered 24 hour portal,2016-08-22 20:51
21,94,3,Fully-configurable secondary customer loyalty,2016-07-25 11:30
61,42,3,Synchronised heuristic service-desk,2016-09-13 02:13
97,76,5,Seamless responsive benchmark,2016-08-05 10:57
90,19,5,Cross-group national framework,2017-03-13 15:51
39,58,4,Intuitive composite moratorium,2017-02-14 18:46
46,61,3,Compatible 3rd generation policy,2016-10-07 04:28
68,4,2,Stand-alone 4th generation instruction set,2016-08-11 16:22
60,6,3,Fully-configurable exuding customer loyalty,2017-02-21 01:20
39,6,5,Advanced local paradigm,2017-03-08 09:55
1,39,5,Synergized upward-trending synergy,2016-10-11 11:58
36,57,4,Implemented interactive frame,2016-10-17 14:18
93,72,1,Implemented foreground function,2017-03-01 09:35
4,97,3,Progressive demand-driven hierarchy,2016-07-30 19:45
90,47,3,Fundamental high-level benchmark,2017-02-20 01:47
75,80,2,Enhanced eco-centric capability,2017-02-27 02:26
13,83,2,Down-sized mission-critical hardware,2016-10-25 22:46
21,62,5,Universal tangible projection,2016-08-27 10:22
86,68,3,Ergonomic client-server internet solution,2016-12-14 04:35
86,39,2,Synergized zero administration challenge,2016-08-16 18:19
8,7,1,Balanced clear-thinking initiative,2016-12-23 09:52
75,22,5,Enhanced transitional encryption,2016-09-20 00:33
84,36,1,Configurable solution-oriented project,2016-10-21 14:08
40,6,1,Distributed modular projection,2016-08-13 08:31
40,29,3,Pre-emptive reciprocal paradigm,2017-01-13 21:45
70,2,3,Organized bottom-line definition,2016-12-10 00:33
32,80,1,Multi-channelled intangible website,2016-09-24 10:14
45,50,2,Function-based maximized algorithm,2016-10-01 03:35
84,41,1,Reduced 6th generation framework,2016-12-17 15:56
41,52,3,Optimized explicit framework,2016-11-12 10:51
84,79,5,Persistent fresh-thinking success,2016-09-26 11:47
45,39,2,Integrated interactive solution,2016-10-21 16:28
16,19,1,Horizontal intermediate success,2017-03-03 01:27
20,33,4,Intuitive interactive structure,2016-10-24 15:56
30,65,1,Reverse-engineered global budgetary management,2017-01-19 05:24
66,8,3,Distributed zero administration extranet,2016-07-18 10:30
89,62,4,De-engineered 4th generation functionalities,2016-07-04 06:17
77,72,3,Operative 6th generation application,2016-09-05 06:52
34,62,3,Managed demand-driven monitoring,2016-08-14 01:22
79,21,2,Expanded zero administration project,2016-07-30 22:42
28,96,3,Seamless intangible local area network,2016-12-04 00:12
21,6,5,Right-sized secondary interface,2016-10-09 12:34
27,86,3,Diverse mission-critical neural-net,2016-08-10 13:28
70,26,1,Object-based multi-tasking task-force,2016-12-18 05:29
47,63,2,Right-sized fault-tolerant implementation,2017-03-03 03:05
74,34,4,Networked uniform challenge,2016-12-23 20:11
87,47,3,Enhanced systemic methodology,2017-03-02 16:00
44,93,3,Managed heuristic access,2016-07-27 02:36
7,84,2,Automated client-driven pricing structure,2016-11-06 00:51
82,53,2,Proactive optimal complexity,2016-08-01 00:30
34,34,5,Exclusive homogeneous knowledge base,2016-07-06 02:06
69,7,4,Reactive homogeneous productivity,2016-09-11 06:09
50,56,5,Versatile incremental hardware,2017-01-31 21:52
38,63,4,Decentralized optimizing encryption,2016-08-19 14:25
50,96,5,Multi-layered demand-driven knowledge base,2016-12-20 18:07
76,32,1,Quality-focused optimal protocol,2017-01-18 11:04
88,64,3,User-friendly object-oriented project,2016-07-07 09:45
78,66,4,Centralized multimedia open system,2016-12-28 10:35
30,70,2,Multi-channelled zero administration policy,2016-09-26 04:55
37,57,5,Business-focused multi-state knowledge user,2016-10-24 17:21
56,33,3,Stand-alone mission-critical benchmark,2016-11-05 11:39
66,4,2,Phased tangible adapter,2017-01-18 21:38
85,58,5,Cloned needs-based instruction set,2016-08-12 11:00
97,25,5,Ergonomic regional task-force,2016-11-06 12:44
5,28,2,Advanced next generation framework,2016-09-30 06:49
71,94,2,Open-source transitional productivity,2016-08-25 14:15
55,55,3,Secured multi-state customer loyalty,2016-07-28 11:14
26,66,5,Polarised zero administration project,2016-10-17 14:03
16,64,4,Down-sized contextually-based extranet,2016-08-20 12:20
77,20,1,Cloned methodical alliance,2017-01-26 00:00
26,32,4,Team-oriented web-enabled hub,2016-09-03 21:03
74,2,5,Integrated multi-tasking service-desk,2016-09-19 17:37
86,39,3,Synergistic contextually-based groupware,2016-10-13 04:51
70,65,1,Universal composite software,2017-01-08 04:32
26,78,3,Open-architected static functionalities,2016-09-03 09:55
28,27,4,Synergized background hardware,2016-12-13 02:11
46,87,2,Mandatory clear-thinking frame,2016-11-07 02:30
29,69,2,Distributed attitude-oriented focus group,2016-09-08 15:35
29,90,3,Public-key cohesive hardware,2016-11-17 00:03
12,46,3,Virtual solution-oriented service-desk,2017-02-23 01:45
13,26,5,Self-enabling intermediate benchmark,2017-01-24 04:14
66,64,2,Configurable tangible installation,2016-09-01 03:07
23,52,3,Profound upward-trending hierarchy,2016-07-02 21:49
77,1,2,Universal zero administration attitude,2017-02-09 23:21
48,71,4,Synergistic object-oriented application,2016-09-20 06:30
94,21,3,Sharable 5th generation initiative,2016-09-05 04:20
65,46,4,Proactive static utilisation,2017-03-10 08:11
33,69,1,Enhanced bi-directional help-desk,2016-08-23 16:17
49,81,2,Synergized local array,2017-02-11 20:39
19,58,4,Open-source exuding approach,2016-11-17 17:20
35,68,2,User-centric incremental hardware,2016-07-03 14:48
16,56,5,Seamless tertiary neural-net,2016-10-25 13:29
49,42,3,Ergonomic methodical protocol,2017-02-09 06:38
50,65,4,Configurable object-oriented array,2017-02-02 04:55
75,12,4,Reverse-engineered explicit system engine,2016-08-15 16:00
50,36,2,User-centric responsive contingency,2017-02-25 12:06
35,25,4,User-centric global hub,2016-09-18 01:38
1,68,3,Sharable local architecture,2017-03-12 06:52
16,65,1,Synchronised full-range interface,2016-09-19 05:05
63,92,4,Persistent upward-trending migration,2016-07-13 02:21
71,47,4,Compatible hybrid success,2016-10-19 04:10
80,5,3,Sharable optimizing solution,2016-10-30 01:06
25,100,3,Multi-layered needs-based help-desk,2016-08-19 17:43
99,72,1,Cloned client-server pricing structure,2016-12-22 10:16
57,52,3,Re-engineered static time-frame,2017-02-24 06:34
73,12,1,Self-enabling systematic middleware,2016-11-07 06:45
35,9,4,Multi-tiered global paradigm,2016-10-19 15:48
67,9,2,Streamlined bifurcated throughput,2017-01-28 04:16
6,40,1,Triple-buffered holistic superstructure,2016-08-28 22:40
54,33,5,Upgradable client-driven capability,2016-07-09 01:40
48,82,5,Distributed composite encoding,2016-08-03 19:00
15,33,4,Grass-roots zero defect methodology,2016-10-17 10:33
13,2,2,Implemented homogeneous framework,2017-01-16 20:30
59,89,5,Self-enabling intangible core,2016-09-03 16:26
74,40,2,Compatible systematic methodology,2016-08-01 13:39
3,58,1,Up-sized context-sensitive superstructure,2017-01-26 11:10
37,91,5,Balanced composite core,2016-09-14 16:07
62,31,1,Re-contextualized solution-oriented alliance,2017-02-03 22:36
39,46,4,Reverse-engineered hybrid neural-net,2016-08-04 07:29
13,75,4,Programmable stable encryption,2016-12-19 13:20
61,1,5,Networked bifurcated toolset,2017-03-12 21:15
80,15,3,Advanced analyzing capacity,2016-12-10 00:59
6,30,4,Stand-alone radical software,2017-02-25 01:13
38,95,5,Pre-emptive clear-thinking frame,2016-12-16 21:15
99,48,3,User-centric explicit policy,2016-09-26 12:34
37,12,1,Integrated non-volatile hub,2016-11-06 13:53
90,91,1,Vision-oriented static hardware,2016-08-30 08:50
68,6,4,Diverse maximized projection,2016-12-09 03:29
14,77,1,Configurable multimedia circuit,2016-11-05 08:25
91,55,2,Fully-configurable 3rd generation projection,2016-12-05 04:06
64,33,3,Profound 24/7 synergy,2016-09-26 03:55
63,37,3,Optional bi-directional attitude,2016-09-16 02:49
79,6,3,Cross-group explicit concept,2016-07-02 03:17
79,78,2,Seamless bottom-line artificial intelligence,2016-07-19 23:56
61,29,2,Focused non-volatile infrastructure,2017-02-13 12:09
57,25,5,Centralized client-server utilisation,2016-11-02 16:54
33,68,4,Persevering motivating methodology,2017-02-08 11:37
43,53,5,Organized actuating alliance,2017-01-25 06:54
38,51,3,Reduced clear-thinking standardization,2016-08-20 06:46
7,35,1,Organized 4th generation matrix,2016-08-06 06:17
23,60,4,Cross-group system-worthy challenge,2016-11-02 03:01
73,98,1,Diverse optimizing challenge,2016-10-28 07:54
2,79,2,Operative tangible protocol,2016-10-17 08:23
33,97,4,Re-engineered system-worthy hardware,2017-01-04 02:18
55,50,4,Robust mobile success,2016-11-09 03:01
49,41,2,Programmable high-level matrices,2016-09-14 18:30
3,65,3,Self-enabling even-keeled matrices,2017-02-10 14:10
25,36,1,Re-engineered non-volatile algorithm,2016-07-17 02:31
10,94,1,Open-source mission-critical support,2017-01-15 21:39
19,75,3,Team-oriented tangible methodology,2016-08-17 20:32
30,94,2,Synergized impactful ability,2017-02-03 21:57
78,96,1,Self-enabling modular intranet,2016-10-31 10:59
62,68,4,Upgradable encompassing installation,2016-08-10 09:40
32,48,1,Reverse-engineered 24/7 Graphic Interface,2017-02-12 13:32
56,17,1,Virtual regional extranet,2016-12-20 14:33
58,68,3,Advanced system-worthy forecast,2017-02-04 20:02
40,9,1,De-engineered content-based productivity,2017-01-11 23:55
98,38,3,Enhanced actuating groupware,2016-08-23 16:43
79,22,2,Exclusive composite attitude,2017-02-21 11:07
60,17,4,Horizontal zero defect encryption,2016-11-29 10:02
42,33,1,Re-engineered multimedia extranet,2016-08-15 14:56
87,29,5,Business-focused non-volatile workforce,2016-11-29 19:35
95,67,4,Operative 6th generation capability,2017-01-16 21:29
75,7,2,Open-architected real-time core,2017-01-22 21:57
44,55,2,Progressive 4th generation product,2016-09-06 06:03
82,63,4,Implemented next generation solution,2017-02-21 23:29
13,51,1,Fully-configurable national knowledge base,2017-02-05 23:25
16,86,3,Decentralized multi-tasking infrastructure,2017-01-08 06:02
39,66,5,Profound national infrastructure,2017-01-07 11:08
70,14,3,Programmable contextually-based contingency,2016-10-28 00:44
21,20,4,Operative intangible budgetary management,2016-08-29 07:46
88,75,5,Expanded homogeneous capacity,2016-12-24 14:44
100,75,2,Extended bandwidth-monitored budgetary management,2016-07-12 05:46
93,56,1,Cross-platform neutral array,2017-01-03 17:09
68,10,4,Networked impactful product,2016-08-16 06:22
82,17,2,Fully-configurable even-keeled frame,2016-08-05 09:12
88,1,4,Polarised empowering concept,2016-09-01 10:48
97,12,4,Multi-channelled intermediate intranet,2017-03-01 05:18
36,25,4,Intuitive intangible customer loyalty,2017-02-17 12:05
53,25,1,Multi-lateral background capacity,2016-08-20 13:36
40,18,4,Balanced empowering hub,2016-11-04 18:35
2,99,4,Reduced interactive definition,2017-01-28 17:55
43,11,4,Reverse-engineered composite data-warehouse,2016-08-01 20:50
78,29,1,Reactive bifurcated website,2016-10-04 14:49
40,88,5,Self-enabling background superstructure,2016-08-24 04:29
93,62,3,Distributed bandwidth-monitored strategy,2016-08-30 17:42
81,76,1,Ergonomic real-time paradigm,2017-01-25 23:56
77,20,5,Re-engineered zero administration synergy,2016-10-09 16:28
58,28,3,Intuitive high-level knowledge base,2017-02-10 09:16
31,84,3,Distributed logistical knowledge base,2016-10-14 14:18
31,78,5,Monitored holistic toolset,2017-03-05 04:12
59,48,2,Multi-lateral bandwidth-monitored encryption,2016-07-11 12:57
10,42,3,Re-contextualized attitude-oriented encryption,2016-07-21 16:29
100,45,3,Progressive intangible function,2016-07-12 21:18
40,38,2,Optimized neutral support,2016-12-28 04:57
85,65,3,Self-enabling stable core,2017-02-07 05:26
100,80,5,Vision-oriented eco-centric orchestration,2016-08-25 04:13
27,94,4,Ergonomic value-added protocol,2016-11-28 23:17
25,33,3,Reduced real-time internet solution,2017-02-27 02:09
50,40,4,Optional incremental internet solution,2016-07-27 05:41
75,42,1,Implemented secondary emulation,2016-12-27 06:41
8,64,2,Stand-alone regional service-desk,2016-09-02 05:35
97,28,1,Expanded discrete focus group,2016-11-14 05:07
47,73,1,Sharable global support,2017-02-19 11:17
36,24,5,Persevering tangible moratorium,2016-07-12 12:28
53,91,2,Organic background initiative,2016-11-04 02:38
31,77,2,Fundamental empowering knowledge base,2016-12-15 13:00
18,59,2,Fully-configurable uniform ability,2016-10-15 19:10
97,94,4,Realigned user-facing implementation,2017-01-12 09:53
80,14,2,Persevering modular implementation,2016-09-19 10:31
58,94,2,Seamless attitude-oriented pricing structure,2016-08-11 08:04
75,83,1,Grass-roots motivating ability,2016-10-03 08:17
8,7,5,Multi-lateral maximized projection,2016-10-12 01:14
45,56,1,Integrated zero tolerance model,2016-11-09 10:26
9,4,5,Visionary logistical frame,2017-01-10 15:07
77,83,5,Fully-configurable secondary database,2016-12-28 19:36
14,32,5,Switchable mobile Graphic Interface,2017-03-07 06:06
35,62,5,Multi-tiered holistic application,2016-12-08 14:00
46,36,2,Cross-platform well-modulated matrices,2016-10-31 08:11
22,85,5,Intuitive neutral interface,2016-10-19 13:07
70,92,2,Streamlined user-facing model,2016-10-02 12:47
84,31,2,Total optimal secured line,2016-08-15 04:58
25,51,4,Grass-roots 4th generation intranet,2016-08-20 04:53
62,43,3,Optimized tertiary data-warehouse,2016-09-10 07:12
73,25,4,Multi-lateral object-oriented internet solution,2016-12-11 14:37
26,67,5,Self-enabling bandwidth-monitored matrices,2016-08-05 00:51
66,39,1,Secured optimal installation,2016-09-30 04:39
70,43,1,Multi-channelled contextually-based methodology,2016-11-24 13:23
97,51,1,De-engineered fault-tolerant benchmark,2016-08-01 16:13
88,1,1,Streamlined bottom-line array,2017-01-27 21:01
79,76,1,Down-sized dedicated capability,2017-01-02 19:13
69,81,5,Streamlined modular neural-net,2016-08-25 11:59
92,95,2,Versatile solution-oriented moratorium,2016-10-08 04:45
32,95,4,Assimilated value-added open system,2017-01-07 17:10
